Rank	sample_id	factor	cell_line	cell_type	tissue	DNase_p_value	ChIP-seq_p_value	H3K27ac_p_value	summary_p_value
4372	43856	AR	VCaP	Epithelium	Prostate	0.7767013297182191	0.1081131909454654	0.9967530948174689	0.990095739073045
4373	76249	CTCF	None	Epithelium	Breast	0.9381638789012541	0.08668152010286989	0.9966551213998331	0.9901240720568103
4374	76831	SETX	A549	Epithelium	Lung	0.9949044676950336	0.9879013615020075	0.9603112649755293	0.9901319187611846
4375	46102	ZBTB7A	ECC-1	Epithelium	Endometrium	0.6857044513473536	0.7662469633373352	0.9966511746541111	0.9901397505136782
4376	64279	ZNF592	MCF-7	Epithelium	Breast	0.9618756580130416	0.9109805001367353	0.9962691455820395	0.9901692006621156
4377	69806	NR1H2	HT29	colorectal adenocarcinoma	None	0.381595391783492	0.10455050546668998	0.9968323295818572	0.9901746296167443
4378	72466	AFF4	SEM	B cell precursor	None	0.93464205841339	0.9905141179416551	0.9946071267121868	0.990195510845566
4379	73547	BRD4	SUM159PT	mammary carcinoma cell line	Breast	0.9022160363618956	0.8882630535114873	0.996526872320334	0.9902118139195898
4380	33496	FOXA1	MCF-7	Epithelium	Breast	0.8236459615939672	0.5619735233717037	0.996675790415444	0.9902154726300157
4381	74355	OTX2	D-341	None	None	0.8998676932410374	0.3922421290453984	0.996675825535161	0.9903057056960616
4382	64878	ZBTB1	HEK293	Epithelium	Embryonic Kidney	0.8829964752729906	0.9403016332492048	0.9964941262957013	0.9903235765359334
4383	32803	MED1	P493-6	B cell lymphoma	None	0.7469976515999629	0.594110286595907	0.996739822584367	0.9903492310768109
4384	56121	AR	None	None	Prostate	0.10942638920927078	0.023058225232859983	0.99725505716503	0.9903945842355613
4385	46251	MBD4	HepG2	Epithelium	Liver	0.5026231804321529	0.012905098616054154	0.9974380673460679	0.990415215918698
4386	77300	TRIM25	BT-549	None	Breast	0.9020655929142304	0.9329947182193027	0.9965389093236011	0.990433645302978
4387	70141	AR	MDA-MB-453	None	Breast	0.37718813803162654	0.16091265425880547	0.9968821765989004	0.9904418622680353
4388	65174	ZNF8	HEK293	Epithelium	Embryonic Kidney	0.5293868959459593	0.6191292828365044	0.9967984092701815	0.9904444385053912
4389	53493	SOX9	HT29	Epithelium	Colon	0.5186702982232562	0.3991528033088628	0.9968425696145752	0.9905048577085405
4390	74839	AR	LNCaP	Epithelium	Prostate	0.7820210006502681	0.8486188326990365	0.9967320591045004	0.9905073257733494
4391	64111	SMARCA4	K562	Erythroblast	Bone Marrow	0.8535487329530227	0.9814485323290784	0.9961017431535334	0.9905299464136841
4392	74359	OTX2	D-341	None	None	0.8751485147008622	0.8899883136396559	0.9966718154352686	0.9905322815945024
4393	32792	T	P493-6	B cell lymphoma	None	0.8559346299154662	0.9547856146327365	0.9965377291022927	0.9905463674821311
4394	8656	ERG	VCaP	Epithelium	Prostate	0.3560083469932459	0.6877144824085831	0.9968483550590996	0.990564639187074
4395	33189	MYC	P493-6	B cell lymphoma	None	0.8071766774187354	0.6943778901091814	0.9967900286737438	0.9905762957358284
4396	38289	MAX	H128	Epithelium	Lung	0.9163685859471562	0.820887091754342	0.9966891081578436	0.9905890390962648
4397	45980	MYC	MCF-7	Epithelium	Breast	0.9087145078183656	0.7378956557277163	0.9967329449146206	0.9906171386666509
4398	64464	BCL11B	HEK293	Epithelium	Embryonic Kidney	0.908334701121294	0.9441109192368184	0.996570625573712	0.9906248232445312
4399	33032	ARNT	MCF-7	Epithelium	Breast	0.8626762766535809	0.3120676756291201	0.9968340655694216	0.990644403906757
4400	55724	SUMO2	VCaP	Epithelium	Prostate	0.7893860052070787	0.1740623305034047	0.9969029541045225	0.9906786994607466
4401	49183	EMX1	HeLa	Epithelium	Cervix	0.920090568309233	0.7993279992863647	0.996725989663949	0.9906853135065881
4402	37605	FAIRE	None	Epithelium	Mammary Gland	0.625190546703047	0.3998985556791645	0.9968963540678866	0.9906995463207156
4403	74907	POLR3D	THP-1	Macrophage	None	0.8324143024450884	0.9482282037316417	0.9966483623337224	0.9907118576320157
4404	2303	ESR1	MCF-7	Epithelium	Breast	0.45284786475091937	0.18994210909414339	0.9969669088815004	0.9907602624319387
4405	38204	CTCF	FB8470	Fibroblast	None	0.9953538347724569	0.6606700801089493	0.9907176088905607	0.9907619314677263
4406	62665	HLTF	K562	Erythroblast	Bone Marrow	0.8697476907342687	0.8109035441375572	0.9968190432619757	0.9908073079130268
4407	58874	GATA2	TF-1	Erythroblast	Bone Marrow	0.9172297880796447	0.012121125561199023	0.997485795923106	0.9908304499243623
4408	39359	SMAD3	LX2	Hepatic Stellate Cell	None	0.6108327760389658	0.2920718817740155	0.9969640931910713	0.9908594316183392
4409	63155	GABP	HepG2	Epithelium	Liver	0.19313997461215932	0.8098763830079709	0.9969670515937197	0.990905915744771
4410	55124	PPARG	None	None	Adipose	0.8486251987256264	0.6439668638216605	0.9969316448939972	0.9910075460187242
4411	75574	CTCF	None	None	None	0.9915658778353734	0.061598975172051464	0.9956735203991921	0.991010337831939
4412	33526	ESR1	MCF-7	Epithelium	Breast	0.9594171023155661	0.2321133241780557	0.9968146769016011	0.9910450158117184
4413	64445	OVOL3	HEK293	Epithelium	Embryonic Kidney	0.9536666055796763	0.6980467285638083	0.9968071933147483	0.9910969892290176
4414	50274	FOXA1	LNCaP	Epithelium	Prostate	0.7512883220031688	0.14172085183428879	0.9970658957641525	0.9911106141580852
4415	43301	TEAD4	WA09	Embryonic Stem Cell	Embryo	0.6245371347547357	0.35839040131415795	0.9970387708128248	0.9911130529821152
4416	51267	AR	VCaP	Epithelium	Prostate	0.5897407051662313	0.10397804956679768	0.9971178048122299	0.9911418920191482
4417	77114	ZNF460	293T	None	None	0.9852339272179595	0.9602960036901913	0.9959435419393959	0.9911588989967302
4418	65188	KLF1	HEK293	Epithelium	Embryonic Kidney	0.9964545242978188	0.7865257529203704	0.9813517282883217	0.9911673293689096
4419	62757	MTA2	K562	Erythroblast	Bone Marrow	0.9784560353169611	0.9658318695745	0.9962144323696273	0.9911696202021136
4420	50697	GTF2I	None	Fibroblast	None	0.9928525752167151	0.8094296003445731	0.9948796709276471	0.9911728926135788
4421	68873	ESR1	MCF-7	Embryonic Stem Cell	Breast	0.9405355173507068	0.4115230313612652	0.9969277042626047	0.9912098315102437
4422	63654	SP7	HEK293	Epithelium	Embryonic Kidney	0.6758019621672419	0.7522807442661493	0.9970334442353751	0.9912355279919443
4423	38078	SSRP1	HT1080	None	Connective Tissue	0.8046371446100891	0.8825298386619156	0.9969696104244675	0.991244685448894
4424	41492	BMI1	DU145	Epithelium	Prostate	0.9280444869494305	0.0317834968195935	0.997234348937331	0.9912779847678668
4425	68828	HEXIM1	A375	melanoma	None	0.7304734268433816	0.5540296703179372	0.9970683479063069	0.9912916598104218
4426	72604	HEXIM1	A375	Melanoma Cell	None	0.7304734268433816	0.5540296703179372	0.9970683479063069	0.9912916598104218
4427	51050	PIAS1	VCaP	Epithelium	Prostate	0.0600565546845687	0.004906573759192415	0.9982295602062088	0.9912959340144394
4428	77152	ZNF267	293T	None	None	0.8518152198402421	0.7358845120780356	0.9970238578356183	0.9913096299663333
4429	65171	ZNF18	HEK293	Epithelium	Embryonic Kidney	0.9960551867087698	0.9407516064603604	0.986715528940129	0.9913165556441167
4430	46338	REST	PFSK-1	Neuron	Brain	0.58365565665569	0.602068765554618	0.99709804455333	0.9913434829750751
4431	72337	MYC	None	Glioblastoma Stem Cell	None	0.8253339866284246	0.9852343838193199	0.9963860207138939	0.9914185469182776
4432	63943	SSRP1	HepG2	Epithelium	Liver	0.7840631295314807	0.28430939230291347	0.9971308948025777	0.9914282180239142
4433	69201	TRIM24	LNCaP	Epithelium	Prostate	0.9574998285959113	0.9886298282033948	0.9958640960716676	0.9915051871316719
4434	4125	HDAC3	None	T Lymphocyte	Blood	0.9730086194814866	0.872903064862383	0.9967769314744629	0.9915431399838441
4435	5666	AR	VCaP	Epithelium	Prostate	0.7021772208121528	0.6494319221310533	0.9971608568302381	0.9915778099835677
4436	70174	DNMT3B	None	Keratinocyte	Foreskin	0.9874613844527321	0.5799729849837475	0.9963728095565134	0.9915797830984006
4437	76964	CNOT3	HCT-116	Colorectal cancer cell line	None	0.9577193018034912	0.979932512692702	0.9965225807972119	0.9916878670255344
4438	9261	AR	LNCaP	Epithelium	Prostate	0.22555757932587217	0.009949279024131386	0.9978509165062116	0.9916954363771759
4439	62772	CDC5L	K562	Erythroblast	Bone Marrow	0.9795772558056752	0.9429368103008771	0.9966112481152615	0.991698920707744
4440	50044	AR	LNCaP	Epithelium	Prostate	0.9065834525489447	0.2251032955197082	0.9971850489754294	0.9917135818781957
4441	64758	TCF7L2	K562	Erythroblast	Bone Marrow	0.8092127595064134	0.7049739355089029	0.9971856872900143	0.9917208395061543
4442	46334	TAF1	PFSK-1	Neuron	Brain	0.41493155054215236	0.7058927694926009	0.9972302980807746	0.9917272105540362
4443	44227	SOX2	TT	None	Thyroid	0.9777370342709868	0.3728532352083057	0.996868093184013	0.9917328905996045
4444	46218	CTCF	HCT-116	None	Colon	0.9952784192730822	0.19567324984565115	0.9935831461892999	0.9917407240421293
4445	55323	KDM1A	NCI-H526	Epithelium	Lung	0.994634763371836	0.4934576800677833	0.994350006166963	0.9917436589886484
